stim_id,stim_type,em_restr,nem_restr,spill_region,restr_type,has_comp,comp_q,comp_left,comp_right,comp_correct,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,RestrictorPosition,RestrictorType,Condition
12,exp,in Cardiff,in Budapest,so I booked straightaway.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for cheap B&Bs to stay at in Cardiff and other cities.,Every,B&B,seemed cheap,"in Budapest,",EXT,NEM,EXT-NEM
13,exp,in Germany,in Peru,so there was plenty of choice.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find picturesque campsites to try out in Germany and other countries.,Every,campsite,in Germany,"looked picturesque,",INT,EM,INT-EM
14,exp,in Budapest,in Venice,so I had some deciding to do.,city,1,What did I want to enjoy?,relaxing tours,exciting tours,f,I was on a website trying to find relaxing tours to enjoy in Budapest and other cities.,Every,tour,in Venice,"seemed relaxing,",INT,NEM,INT-NEM
15,exp,in Peru,in France,so I knew just where to go.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for pretty towns to explore in Peru and other countries.,Every,town,looked pretty,"in Peru,",EXT,EM,EXT-EM
16,exp,in Venice,in Glasgow,so I decided to go there.,city,1,What did I want to visit?,low-key galleries,high-end galleries,j,I was on a travel app researching high-end galleries to visit in Venice and other cities.,Every,gallery,seemed high-end,"in Glasgow,",EXT,NEM,EXT-NEM
17,exp,in France,in China,so I booked straightaway.,country,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for old-fashioned guesthouses to stay at in France and other countries.,Every,guesthouse,in France,"looked old-fashioned,",INT,EM,INT-EM
18,exp,in Glasgow,in Belfast,so there was plenty of choice.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for cute cafés to try out in Glasgow and other cities.,Every,café,in Belfast,"seemed cute,",INT,NEM,INT-NEM
19,exp,in China,in Switzerland,so I had some deciding to do.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find scenic hikes to enjoy in China and other countries.,Every,hike,looked scenic,"in China,",EXT,EM,EXT-EM
20,exp,in Belfast,in Durham,so I knew just where to go.,city,1,What did I want to explore?,ornate churches,simple churches,f,I was on a website trying to find ornate churches to explore in Belfast and other cities.,Every,church,seemed ornate,"in Durham,",EXT,NEM,EXT-NEM
21,exp,in Switzerland,in Finland,so I decided to go there.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for unique buildings to visit in Switzerland and other countries.,Every,building,in Switzerland,"looked unique,",INT,EM,INT-EM
22,exp,in Durham,in Amsterdam,so I booked straightaway.,city,1,Where did I want to stay?,thatched cottages,charming cottages,j,I was on a travel app researching charming cottages to stay at in Durham and other cities.,Every,cottage,in Amsterdam,"seemed charming,",INT,NEM,INT-NEM
23,exp,in Finland,in Norway,so there was plenty of choice.,country,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for idyllic cruises to try out in Finland and other countries.,Every,cruise,looked idyllic,"in Finland,",EXT,EM,EXT-EM
24,exp,in Amsterdam,in Prague,so I had some deciding to do.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for romantic getaways to enjoy in Amsterdam and other cities.,Every,getaway,seemed romantic,"in Prague,",EXT,NEM,EXT-NEM
25,exp,in Norway,in Poland,so I knew just where to go.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find soothing rivers to explore in Norway and other countries.,Every,river,in Norway,"looked soothing,",INT,EM,INT-EM
26,exp,in Prague,in Warsaw,so I decided to go there.,city,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find lively bars to visit in Prague and other cities.,Every,bar,in Warsaw,"seemed lively,",INT,NEM,INT-NEM
27,exp,in Poland,in Hungary,so I booked straightaway.,country,1,Where did I want to stay?,peaceful cabins,sizeable cabins,f,I was watching a vlog for inspiration for peaceful cabins to stay at in Poland and other countries.,Every,cabin,looked peaceful,"in Poland,",EXT,EM,EXT-EM
28,exp,in Warsaw,in Florence,so there was plenty of choice.,city,1,What did I want to try out?,cheap eateries,funky eateries,j,I was on a travel app researching funky eateries to try out in Warsaw and other cities.,Every,eatery,seemed funky,"in Florence,",EXT,NEM,EXT-NEM
29,exp,in Hungary,in Argentina,so I had some deciding to do.,country,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for trendy shops to enjoy in Hungary and other countries.,Every,shop,in Hungary,"looked trendy,",INT,EM,INT-EM
30,exp,in Florence,in Madrid,so I knew just where to go.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for busy squares to explore in Florence and other cities.,Every,square,in Madrid,"seemed busy,",INT,NEM,INT-NEM
31,exp,in Argentina,in Thailand,so I decided to go there.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,Every,bridge,looked amazing,"in Argentina,",EXT,EM,EXT-EM
32,exp,in Madrid,in Bucharest,so I booked straightaway.,city,1,Where did I want to stay?,wonderful apartments,large apartments,f,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,Every,apartment,seemed wonderful,"in Bucharest,",EXT,NEM,EXT-NEM
33,exp,in Thailand,in Sweden,so there was plenty of choice.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,Every,zoo,in Thailand,"looked responsible,",INT,EM,INT-EM
34,exp,in Bucharest,in Los Angeles,so I had some deciding to do.,city,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching unique excursions to enjoy in Bucharest and other cities.,Every,excursion,in Los Angeles,"seemed unique,",INT,NEM,INT-NEM
35,exp,in Sweden,in Egypt,so I knew just where to go.,country,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,Every,palace,looked opulent,"in Sweden,",EXT,EM,EXT-EM
36,exp,in Los Angeles,in Perth,so I decided to go there.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for awesome places to visit in Los Angeles and other cities.,Every,place,seemed awesome,"in Perth,",EXT,NEM,EXT-NEM
37,exp,in Egypt,in Australia,so I booked straightaway.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find stunning villas to stay at in Egypt and other countries.,Every,villa,in Egypt,"looked stunning,",INT,EM,INT-EM
38,exp,in Perth,in Zagreb,so there was plenty of choice.,city,1,What did I want to try out?,tiny pubs,cosy pubs,j,I was on a website trying to find cosy pubs to try out in Perth and other cities.,Every,pub,in Zagreb,"seemed cosy,",INT,NEM,INT-NEM
39,exp,in Australia,in Slovakia,so I had some deciding to do.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for pristine lakes to enjoy in Australia and other countries.,Every,lake,looked pristine,"in Australia,",EXT,EM,EXT-EM
40,exp,in Zagreb,in Krakow,so I knew just where to go.,city,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching colourful gardens to explore in Zagreb and other cities.,Every,garden,seemed colourful,"in Krakow,",EXT,NEM,EXT-NEM
41,exp,in Slovakia,in Venezuela,so I decided to go there.,country,1,What did I want to visit?,gorgeous waterfalls,noisy waterfalls,f,I was reading a blog to get some ideas for gorgeous waterfalls to visit in Slovakia and other countries.,Every,waterfall,in Slovakia,"looked gorgeous,",INT,EM,INT-EM
42,exp,in Krakow,in Cairo,so I booked straightaway.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for spacious barges to stay at in Krakow and other cities.,Every,barge,in Cairo,"seemed spacious,",INT,NEM,INT-NEM
43,exp,in Venezuela,in Mexico,so there was plenty of choice.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find tasty delicacies to try out in Venezuela and other countries.,Every,delicacy,looked tasty,"in Venezuela,",EXT,EM,EXT-EM
44,exp,in Cairo,in Berlin,so I had some deciding to do.,city,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find picture-perfect sights to enjoy in Cairo and other cities.,Every,sight,seemed picture-perfect,"in Berlin,",EXT,NEM,EXT-NEM
45,exp,in Mexico,in Denmark,so I knew just where to go.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for magnificent lighthouses to explore in Mexico and other countries.,Every,lighthouse,in Mexico,"looked magnificent,",INT,EM,INT-EM
46,exp,in Berlin,in Istanbul,so I decided to go there.,city,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching historic theatres to visit in Berlin and other cities.,Every,theatre,in Istanbul,"seemed historic,",INT,NEM,INT-NEM
47,exp,in Denmark,in Turkey,so I booked straightaway.,country,1,Where did I want to stay?,unassuming chalets,pleasant chalets,j,I was reading a blog to get some ideas for pleasant chalets to stay at in Denmark and other countries.,Every,chalet,looked pleasant,"in Denmark,",EXT,EM,EXT-EM
48,exp,in Istanbul,in Sydney,so there was plenty of choice.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for well-maintained castles to try out in Istanbul and other cities.,Every,castle,seemed well-maintained,"in Sydney,",EXT,NEM,EXT-NEM
49,exp,in Turkey,in Canada,so I had some deciding to do.,country,1,What did I want to enjoy?,impressive fountains,stone fountains,f,I was flicking through a holiday brochure to find impressive fountains to enjoy in Turkey and other countries.,Every,fountain,in Turkey,"looked impressive,",INT,EM,INT-EM
50,exp,in Sydney,in Bangkok,so I knew just where to go.,city,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find fantastic temples to explore in Sydney and other cities.,Every,temple,in Bangkok,"seemed fantastic,",INT,NEM,INT-NEM
51,exp,in Canada,in Belgium,so I decided to go there.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for exclusive breweries to visit in Canada and other countries.,Every,brewery,looked exclusive,"in Canada,",EXT,EM,EXT-EM
52,exp,in Bangkok,in Barcelona,so I booked straightaway.,city,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching inexpensive lodges to stay at in Bangkok and other cities.,Every,lodge,seemed inexpensive,"in Barcelona,",EXT,NEM,EXT-NEM
53,exp,in Belgium,in Austria,so there was plenty of choice.,country,1,What did I want to try out?,child-friendly rollercoasters,thrilling rollercoasters,j,I was reading a blog to get some ideas for thrilling rollercoasters to try out in Belgium and other countries.,Every,rollercoaster,in Belgium,"looked thrilling,",INT,EM,INT-EM
54,exp,in Barcelona,in New York,so I had some deciding to do.,city,NQ,NQ,NQ,NQ,NQ,I was checking out a guidebook to find suggestions for easy walks to enjoy in Barcelona and other cities.,Every,walk,in New York,"seemed easy,",INT,NEM,INT-NEM
55,exp,in Austria,in Greece,so I knew just where to go.,country,1,What did I want to explore?,sprawling forests,protected forests,f,I was flicking through a holiday brochure to find sprawling forests to explore in Austria and other countries.,Every,forest,looked sprawling,"in Austria,",EXT,EM,EXT-EM
56,exp,in New York,in Leeds,so I decided to go there.,city,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find famous statues to visit in New York and other cities.,Every,statue,seemed famous,"in Leeds,",EXT,NEM,EXT-NEM
57,exp,in Greece,in Thailand,so I booked straightaway.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for eco-friendly farms to stay at in Greece and other countries.,Every,farm,in Greece,"looked eco-friendly,",INT,EM,INT-EM
58,exp,in Leeds,in Tokyo,so there was plenty of choice.,city,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching popular bistros to try out in Leeds and other cities.,Every,bistro,in Tokyo,"seemed popular,",INT,NEM,INT-NEM
59,exp,in Thailand,in Spain,so I had some deciding to do.,country,1,What did I want to enjoy?,easy treks,challenging treks,j,I was reading a blog to get some ideas for challenging treks to enjoy in Thailand and other countries.,Every,trek,looked challenging,"in Thailand,",EXT,EM,EXT-EM
60,exp,in Tokyo,in London,so I knew just where to go.,city,1,What did I want to explore?,bustling neighbourhoods,quiet neighbourhoods,f,I was checking out a guidebook to find suggestions for bustling neighbourhoods to explore in Tokyo and other cities.,Every,neighbourhood,seemed bustling,"in London,",EXT,NEM,EXT-NEM
61,fill,in the US,in New York,so I'm glad I went.,country_city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",I climbed,the tallest,building,"in New York,",FILL,FILL,FILL
62,fill,in France,in Bordeaux,so it was a lovely time.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",I experienced,the hottest,day on record,"in Bordeaux,",FILL,FILL,FILL
63,fill,in Italy,in Rome,so I made some nice memories.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",I ate,the most expensive,pizza,"in Rome,",FILL,FILL,FILL
64,fill,in Germany,in Berlin,so I really enjoyed it.,country_city,1,What country did I go to?,Germany,Albania,f,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",I stayed at,the most luxurious,hotel,"in Berlin,",FILL,FILL,FILL
65,fill,in England,in York,so it was a lovely time.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",I'd booked in at,the oldest,B&B,"in York,",FILL,FILL,FILL
66,fill,in Belgium,in Brussels,so I made some nice memories.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",I got to see,the greenest,park,"in Brussels,",FILL,FILL,FILL
67,fill,in Austria,in Vienna,so I really enjoyed it.,country_city,1,What country did I go to?,Ghana,Austria,j,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",I saw,the best views,views,"in Vienna,",FILL,FILL,FILL
68,fill,in The Netherlands,in Rotterdam,so I'm glad I went.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a lovely two-week stay in The Netherlands. I was really shocked. According to my friends,",I rode,the fastest,train,"in Rotterdam,",FILL,FILL,FILL
69,fill,in Scotland,in Aberdeen,so I made some nice memories.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",I was able to take photos of,the rarest,bird,"in Aberdeen,",FILL,FILL,FILL
70,fill,in Finland,in Helsinki,so I really enjoyed it.,country_city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",I ate at,the poshest,restaurant,"in Helsinki,",FILL,FILL,FILL
71,fill,in China,in Shanghai,so it was a lovely time.,country_city,1,What country did I go to?,China,Malta,f,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",I was staying in,the most modern,appartment block,"in Shanghai,",FILL,FILL,FILL
72,fill,in Canada,in Vancouver,so I made some nice memories.,country_city,1,What country did I go to?,Pakistan,Canada,j,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",I tried,the spiciest,noodles you can find,"in Vancouver,",FILL,FILL,FILL
73,fill,in Russia,in Moscow,so I really enjoyed it.,country_city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",I got to experience,the heaviest,snow to ever fall,"in Moscow,",FILL,FILL,FILL
74,fill,in Australia,in Melbourne,so it was a lovely time.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",I tasted,the most unique,beer,"in Melbourne,",FILL,FILL,FILL
75,fill,in Sweden,in Stockholm,so I made some nice memories.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",I rented,the priciest,car available,"in Stockholm,",FILL,FILL,FILL
76,fill,in Brazil,in São Paulo,so I really enjoyed it.,country_city,1,What country did I go to?,Brazil,New York,f,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",I visited,the smallest,coffee shop,"in São Paulo,",FILL,FILL,FILL
77,fill,in India,in Mumbai,so I'm glad I went.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",I sunbathed,the longest,beach,"in Mumbai,",FILL,FILL,FILL
78,fill,in Switzerland,in Bern,so it was a lovely time.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",I drank from,the most well-known,fountain,"in Bern,",FILL,FILL,FILL
79,fill,in Greece,in Athens,so I made some nice memories.,country_city,1,What country did I go to?,Australia,Greece,j,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",I tried,the best,ice-cream,"in Athens,",FILL,FILL,FILL
80,fill,in Colombia,in Bogotá,so I really enjoyed it.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",I got to enjoy,the tastiest,curry,"in Bogotá,",FILL,FILL,FILL
81,fill,in Thailand,in Bangkok,so it was a lovely time.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",I visited,the most ancient,temple,"in Bangkok,",FILL,FILL,FILL
82,fill,in Japan,in Tokyo,so I made some nice memories.,country_city,1,What country did I go to?,Japan,Russia,f,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",I swam in,the largest,swimming pool,"in Tokyo,",FILL,FILL,FILL
83,fill,in Spain,in Malaga,so I really enjoyed it.,country_city,1,What country did I go to?,Thailand,Spain,j,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",I rode,the biggest,rollercoaster,"in Malaga,",FILL,FILL,FILL
84,fill,in Morrocco,in Marrakesh,so I'm glad I went.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",I stayed at,the cleanest,hostel,"in Marrakesh,",FILL,FILL,FILL
85,fill,in Turkey,in Istanbul,so I made some nice memories.,country_city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",I went up,the newest,skyscraper,"in Istanbul,",FILL,FILL,FILL
86,fill,in Portugal,in Lisbon,so I really enjoyed it.,country_city,1,What country did I go to?,Portugal,Iran,f,"I've just returned from a well-earned break in Portugal. I was really shocked. Apparently,",I walked across,the most famous,bridge,"in Lisbon,",FILL,FILL,FILL
87,fill,in Ireland,in Dublin,so it was a lovely time.,country_city,1,What country did I go to?,Turkmenistan,Ireland,j,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",I sailed down,the widest,river,"in Dublin,",FILL,FILL,FILL
88,fill,in Wales,in Swansea,so I made some nice memories.,country_city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",I got to stay in,the least well-known,area,"in Swansea,",FILL,FILL,FILL
89,fill,in Hungary,in Budapest,so I really enjoyed it.,country_city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",I had,the finest,seafood,"in Budapest,",FILL,FILL,FILL
90,fill,in South Africa,in Johannesburgh,so it was a lovely time.,country_city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",I ate,the nicest,cheese,"in Johannesburgh,",FILL,FILL,FILL
91,fill,in Chicago,in the US,so I made some nice memories.,city_country,1,What city did I go to?,Chicago,Atlanta,f,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",I got to try,the most delicious,spaghetti,"in the US,",FILL,FILL,FILL
92,fill,in Nice,in France,so I really enjoyed it.,city_country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",I bathed in,the cleanest,sea,"in France,",FILL,FILL,FILL
93,fill,in Milan,in Italy,so I'm glad I went.,city_country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",I took,the highest,helicopter ride,"in Italy,",FILL,FILL,FILL
94,fill,in Frankfurt,in Germany,so it was a lovely time.,city_country,1,What city did I go to?,Munich,Frankfurt,j,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",I paraglided over,the most beautiful,spot,"in Germany,",FILL,FILL,FILL
95,fill,in Lancaster,in England,so I made some nice memories.,city_country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",I went to,the very first,pub,"in England,",FILL,FILL,FILL
96,fill,in Bruges,in Belgium,so I really enjoyed it.,city_country,1,What city did I go to?,Bruges,Brussels,f,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",I drank at,the trendiest,bar,"in Belgium,",FILL,FILL,FILL
97,fill,in Salzburg,in Austria,so it was a lovely time.,city_country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",I visited,the most historical,monument,"in Austria,",FILL,FILL,FILL
98,fill,in Utrecht,in The Netherlands,so I made some nice memories.,city_country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",I was staying near,the oldest,university,"in The Netherlands,",FILL,FILL,FILL
99,fill,in Dundee,in Scotland,so I really enjoyed it.,city_country,1,What city did I go to?,Aberdeen,Dundee,j,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",I got to look around,the most well-established,museum,"in Scotland,",FILL,FILL,FILL
100,fill,in Lapland,in Finland,so I'm glad I went.,city_country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",I arrived during,the best,time for skiing,"in Finland,",FILL,FILL,FILL
101,fill,in Beijing,in China,so I made some nice memories.,city_country,1,What city did I go to?,Beijing,Chengdu,f,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",I took a boat trip on,the deepest,lake,"in China,",FILL,FILL,FILL
102,fill,in Ottawa,in Canada,so I really enjoyed it.,city_country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",I got to taste,the most authentic,gelato,"in Canada,",FILL,FILL,FILL
103,fill,in St. Petersburg,in Russia,so it was a lovely time.,city_country,1,What city did I go to?,Omsk,St. Petersburg,j,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",I bought,the most fashionable,jacket,"in Russia,",FILL,FILL,FILL
104,fill,in Perth,in Australia,so I made some nice memories.,city_country,1,What city did I go to?,Perth,Adelaide,f,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",I got a room at,the fanciest,boutique hotel,"in Australia,",FILL,FILL,FILL
105,fill,in Gothenburg,in Sweden,so I really enjoyed it.,city_country,1,What city did I go to?,Lund,Gothenburg,j,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",I went down,the fastest,waterslide,"in Sweden,",FILL,FILL,FILL
106,fill,in Rio de Janeiro,in Brazil,so it was a lovely time.,city_country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",I did,the most difficult,trek,"in Brazil,",FILL,FILL,FILL
107,fill,in Delhi,in India,so I made some nice memories.,city_country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",I enjoyed,the cheapest,vegan food,"in India,",FILL,FILL,FILL
108,fill,in Zürich,in Switzerland,so I really enjoyed it.,city_country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",I ordered,the most alcoholic,cocktail,"in Switzerland,",FILL,FILL,FILL
109,fill,in Corfu,in Greece,so I'm glad I went.,city_country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",I went on,the most scenic,boat trip,"in Greece,",FILL,FILL,FILL
110,fill,in Cartagena,in Colombia,so it was a lovely time.,city_country,1,What city did I go to?,Cartagena,Santa Marta,f,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",I got to see,the most romantic,sunsets,"in Colombia,",FILL,FILL,FILL
111,fill,in Phuket,in Thailand,so I made some nice memories.,city_country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",I got to experience,the most vibrant,nightlife,"in Thailand,",FILL,FILL,FILL
112,fill,in Kyoto,in Japan,so I really enjoyed it.,city_country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",I ate,the best,sushi,"in Japan,",FILL,FILL,FILL
113,fill,in Tenerife,in Spain,so it was a lovely time.,city_country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",I got to explore,the most convoluted,caves,"in Spain,",FILL,FILL,FILL
114,fill,in Rabat,Morocco,so I made some nice memories.,city_country,1,What city did I go to?,Fes,Rabat,j,"I got home yesterday from a great holiday in Rabat. You won't believe it! Apparently,",I bought food from,the oldest,market,"Morocco,",FILL,FILL,FILL
