stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,comp_left,comp_right,comp_correct,comp_type,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,comp_q,EXCEPTIVE,RestrictorType,ExceptivePosition,Condition
21,exp,in Switzerland,in the brochure,so I didn't know what to do.,country,brochure,Switzerland,India,f,PLACE,I was flicking through a holiday brochure to find unique buildings to visit in Switzerland and other countries.,Every,building,looked unique,"except those in the brochure,",What was one of the countries that I was thinking about going to?,except those in the brochure,MAX,PST,PST-MAX
22,exp,in Durham,on the website,so I needed to do more research.,city,website,blog,website,j,RESOURCE,I was on a website trying to find charming cottages to stay at in Durham and other cities.,Every,cottage,except those in Durham,"seemed charming,",What kind of information source was I looking at for my research?,except those in Durham,MEN,PRE,PRE-MEN
23,exp,in Finland,in the vlog,so I had some deciding to do.,country,vlog,idyllic,amazing,f,ADJ,I was watching a vlog for inspiration for idyllic cruises to try out in Finland and other countries.,Every,cruise,looked idyllic,"except those in Finland,",What type of cruise did I want to try out?,except those in Finland,MEN,PST,PST-MEN
24,exp,in Amsterdam,on the app,so I didn't know what to do.,city,app,Perth,Amsterdam,j,PLACE,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,Every,getaway,except those on the app,"seemed romantic,",What was one of the cities that I was thinking about visiting?,except those on the app,MAX,PRE,PRE-MAX
25,exp,in Norway,in the blog,so I had some deciding to do.,country,blog,blog,vlog,f,RESOURCE,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,Every,river,looked soothing,"except those in the blog,",What sort of material was I looking at to do my research?,except those in the blog,MAX,PST,PST-MAX
26,exp,in Prague,in the brochure,so I didn't know what to do.,city,brochure,quiet,lively,j,ADJ,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,Every,bar,except those in Prague,"seemed lively,",What sort of bar was I hoping to visit?,except those in Prague,MEN,PRE,PRE-MEN
27,exp,in Poland,on the website,so I needed to do more research.,country,website,Poland,Indonesia,f,PLACE,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,Every,cabin,looked peaceful,"except those in Poland,",What was one of the countries that I was considering travelling to?,except those in Poland,MEN,PST,PST-MEN
28,exp,in Warsaw,in the vlog,so I had some deciding to do.,city,vlog,brochure,vlog,j,RESOURCE,I was watching a vlog for inspiration for funky eateries to try out in Warsaw and other cities.,Every,eatery,except those in the vlog,"seemed funky,",What type of resource was I using for my research?,except those in the vlog,MAX,PRE,PRE-MAX
29,exp,in Hungary,on the app,so I didn't know what to do.,country,app,trendy,inexpensive,f,ADJ,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,Every,shop,looked trendy,"except those on the app,",What kind of shop did I want to enjoy?,except those on the app,MAX,PST,PST-MAX
30,exp,in Florence,in the blog,so I needed to do more research.,city,blog,Ottawa,Florence,j,PLACE,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,Every,square,except those in Florence,"seemed busy,",What was one of the cities that I was considering going to?,except those in Florence,MEN,PRE,PRE-MEN
31,exp,in Argentina,in the brochure,so I didn't know what to do.,country,brochure,brochure,app,f,RESOURCE,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,Every,bridge,looked amazing,"except those in Argentina,",What kind of information source was I using to do my research?,except those in Argentina,MEN,PST,PST-MEN
32,exp,in Madrid,on the website,so I needed to do more research.,city,website,small,wonderful,j,ADJ,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,Every,apartment,except those on the website,"seemed wonderful,",What type of apartment was I hoping to stay at?,except those on the website,MAX,PRE,PRE-MAX
33,exp,in Thailand,in the vlog,so I had some deciding to do.,country,vlog,Thailand,Finland,f,PLACE,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,Every,zoo,looked responsible,"except those in the vlog,",What was one of the countries that I was thinking about visiting?,except those in the vlog,MAX,PST,PST-MAX
34,exp,in Bucharest,on the app,so I didn't know what to do.,city,app,website,app,j,RESOURCE,I was on a travel app researching action-packed excursions to enjoy in Bucharest and other cities.,Every,excursion,except those in Bucharest,"seemed action-packed,",What sort of material was I using for my research?,except those in Bucharest,MEN,PRE,PRE-MEN
35,exp,in Sweden,in the blog,so I needed to do more research.,country,blog,opulent,simple,f,ADJ,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,Every,palace,looked opulent,"except those in Sweden,",What sort of palace did I want to explore?,except those in Sweden,MEN,PST,PST-MEN
36,exp,in Los Angeles,in the brochure,so I had some deciding to do.,city,brochure,Nice,Los Angeles,j,PLACE,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,Every,place,except those in the brochure,"seemed awesome,",What was one of the cities that I was thinking about travelling to?,except those in the brochure,MAX,PRE,PRE-MAX
37,exp,in Egypt,on the website,so I needed to do more research.,country,website,website,blog,f,RESOURCE,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,Every,villa,looked stunning,"except those on the website,",What type of resource was I consulting to do my research?,except those on the website,MAX,PST,PST-MAX
38,exp,in Perth,in the vlog,so I had some deciding to do.,city,vlog,cheap,cosy,j,ADJ,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,Every,pub,except those in Perth,"seemed cosy,",What kind of pub was I hoping to try out?,except those in Perth,MEN,PRE,PRE-MEN
39,exp,in Australia,on the app,so I didn't know what to do.,country,app,Australia,Germany,f,PLACE,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,Every,lake,looked pristine,"except those in Australia,",What was one of the countries that I was considering going to?,except those in Australia,MEN,PST,PST-MEN
40,exp,in Zagreb,in the blog,so I needed to do more research.,city,blog,vlog,blog,j,RESOURCE,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,Every,garden,except those in the blog,"seemed colourful,",What kind of information source was I consulting for my research?,except those in the blog,MAX,PRE,PRE-MAX
41,exp,in Slovakia,in the brochure,so I had some deciding to do.,country,brochure,gorgeous,massive,f,ADJ,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,Every,waterfall,looked gorgeous,"except those in the brochure,",What type of waterfall did I want to visit?,except those in the brochure,MAX,PST,PST-MAX
42,exp,in Krakow,on the website,so I didn't know what to do.,city,website,Chicago,Krakow,j,PLACE,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,Every,barge,except those in Krakow,"seemed spacious,",What was one of the cities that I was considering visiting?,except those in Krakow,MEN,PRE,PRE-MEN
43,exp,in Venezuela,in the vlog,so I had some deciding to do.,country,vlog,vlog,brochure,f,RESOURCE,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,Every,delicacy,looked tasty,"except those in Venezuela,",What sort of material was I consulting to do my research?,except those in Venezuela,MEN,PST,PST-MEN
44,exp,in Cairo,on the app,so I didn't know what to do.,city,app,inspiring,picture-perfect,j,ADJ,I was on a travel app researching picture-perfect sights to enjoy in Cairo and other cities.,Every,sight,except those on the app,"seemed picture-perfect,",What sort of sight was I hoping to enjoy?,except those on the app,MAX,PRE,PRE-MAX
45,exp,in Mexico,in the blog,so I needed to do more research.,country,blog,Mexico,South Africa,f,PLACE,I was reading a blog to get some ideas for magnificent lighthouses to explore in Mexico and other countries.,Every,lighthouse,looked magnificent,"except those in the blog,",What was one of the countries that I was thinking about travelling to?,except those in the blog,MAX,PST,PST-MAX
46,exp,in Berlin,in the brochure,so I had some deciding to do.,city,brochure,app,brochure,j,RESOURCE,I was flicking through a holiday brochure to find historic theatres to visit in Berlin and other cities.,Every,theatre,except those in Berlin,"seemed historic,",What type of resource was I looking at for my research?,except those in Berlin,MEN,PRE,PRE-MEN
47,exp,in Denmark,on the website,so I didn't know what to do.,country,website,pleasant,pricey,f,ADJ,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,Every,chalet,looked pleasant,"except those in Denmark,",What kind of chalet did I want to stay at?,except those in Denmark,MEN,PST,PST-MEN
48,exp,in Istanbul,in the vlog,so I needed to do more research.,city,vlog,Dublin,Istanbul,j,PLACE,I was watching a vlog for inspiration for well-maintained castles to try out in Istanbul and other cities.,Every,castle,except those in the vlog,"seemed well-maintained,",What was one of the cities that I was thinking about going to?,except those in the vlog,MAX,PRE,PRE-MAX
49,exp,in Turkey,on the app,so I didn't know what to do.,country,app,app,website,f,RESOURCE,I was on a travel app researching impressive fountains to enjoy in Turkey and other countries.,Every,fountain,looked impressive,"except those on the app,",What kind of information source was I looking at to do my research?,except those on the app,MAX,PST,PST-MAX
50,exp,in Sydney,in the blog,so I needed to do more research.,city,blog,marvellous,fantastic,j,ADJ,I was reading a blog to get some ideas for fantastic temples to explore in Sydney and other cities.,Every,temple,except those in Sydney,"seemed fantastic,",What type of temple was I hoping to explore?,except those in Sydney,MEN,PRE,PRE-MEN
51,exp,in Canada,in the brochure,so I had some deciding to do.,country,brochure,Canada,Jamaica,f,PLACE,I was flicking through a holiday brochure to find exclusive breweries to visit in Canada and other countries.,Every,brewery,looked exclusive,"except those in Canada,",What was one of the countries that I was considering visiting?,except those in Canada,MEN,PST,PST-MEN
52,exp,in Bangkok,on the website,so I didn't know what to do.,city,website,blog,website,j,RESOURCE,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,Every,lodge,except those on the website,"seemed inexpensive,",What sort of material was I looking at for my research?,except those on the website,MAX,PRE,PRE-MAX
53,exp,in Belgium,in the vlog,so I needed to do more research.,country,vlog,thrilling,dangerous,f,ADJ,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,Every,rollercoaster,looked thrilling,"except those in the vlog,",What sort of rollercoaster did I want to try out?,except those in the vlog,MAX,PST,PST-MAX
54,exp,in Barcelona,on the app,so I had some deciding to do.,city,app,Milan,Barcelona,j,PLACE,I was on a travel app researching easy walks to enjoy in Barcelona and other cities.,Every,walk,except those in Barcelona,"seemed easy,",What was one of the cities that I was considering travelling to?,except those in Barcelona,MEN,PRE,PRE-MEN
55,exp,in Austria,in the blog,so I needed to do more research.,country,blog,blog,vlog,f,RESOURCE,I was reading a blog to get some ideas for sprawling forests to explore in Austria and other countries.,Every,forest,looked sprawling,"except those in Austria,",What type of resource was I using to do my research?,except those in Austria,MEN,PST,PST-MEN
56,exp,in New York,in the brochure,so I had some deciding to do.,city,brochure,gigantic,famous,j,ADJ,I was flicking through a holiday brochure to find famous statues to visit in New York and other cities.,Every,statue,except those in the brochure,"seemed famous,",What kind of statue was I hoping to visit?,except those in the brochure,MAX,PRE,PRE-MAX
57,exp,in Greece,on the website,so I didn't know what to do.,country,website,Greece,Egypt,f,PLACE,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,Every,farm,looked eco-friendly,"except those on the website,",What was one of the countries that I was thinking about going to?,except those on the website,MAX,PST,PST-MAX
58,exp,in Leeds,in the vlog,so I needed to do more research.,city,vlog,brochure,vlog,j,RESOURCE,I was watching a vlog for inspiration for popular bistros to try out in Leeds and other cities.,Every,bistro,except those in Leeds,"seemed popular,",What kind of information source was I using for my research?,except those in Leeds,MEN,PRE,PRE-MEN
59,exp,in Indonesia,on the app,so I had some deciding to do.,country,app,challenging,epic,f,ADJ,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,Every,trek,looked challenging,"except those in Indonesia,",What type of trek did I want to enjoy?,except those in Indonesia,MEN,PST,PST-MEN
60,exp,in Tokyo,in the blog,so I didn't know what to do.,city,blog,Bern,Tokyo,j,PLACE,I was reading a blog to get some ideas for bustling neighbourhoods to explore in Tokyo and other cities.,Every,neighbourhood,except those in the blog,"seemed bustling,",What was one of the cities that I was thinking about visiting?,except those in the blog,MAX,PRE,PRE-MAX
61,fill,in New York,in the US,so I'm glad I went.,country,city,the tallest,the most historic,f,ADJ,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",I climbed,the tallest,building,"in New York,",What type of building did I climb?,FILL,FILL,FILL,FILL
62,fill,in Bordeaux,in France,so it was a lovely time.,country,city,the hottest,the coldest,f,ADJ,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",I experienced,the hottest,day on record,"in Bordeaux,",What kind of day did I experience?,FILL,FILL,FILL,FILL
63,fill,in Rome,in Italy,so I made some nice memories.,country,city,the most expensive,the biggest,f,ADJ,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",I ate,the most expensive,pizza,"in Rome,",What type of pizza did I eat?,FILL,FILL,FILL,FILL
64,fill,in Berlin,in Germany,so I really enjoyed it.,country,city,the most luxurious,the cheapest,f,ADJ,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",I stayed at,the most luxurious,hotel,"in Berlin,",What kind of hotel did I stay at?,FILL,FILL,FILL,FILL
65,fill,in York,in England,so it was a lovely time.,country,city,the oldest,the most modern,f,ADJ,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",I'd booked in at,the oldest,B&B,"in York,",What type of B&B did I stay at?,FILL,FILL,FILL,FILL
66,fill,in Brussels,in Belgium,so I made some nice memories.,country,city,the greenest,the smallest,f,ADJ,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",I got to see,the greenest,park,"in Brussels,",What kind of park did I see?,FILL,FILL,FILL,FILL
67,fill,in Vienna,in Austria,so I really enjoyed it.,country,city,the best,the worst,f,ADJ,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",I saw,the best views,views,"in Vienna,",What type of views did I see?,FILL,FILL,FILL,FILL
68,fill,in Rotterdam,in The Netherlands,so I'm glad I went.,country,city,the fastest,the slowest,f,ADJ,"I've just returned from a lovely two-week stay in The Netherlands. I was really shocked. According to my friends,",I rode,the fastest,train,"in Rotterdam,",What kind of train did I ride on?,FILL,FILL,FILL,FILL
69,fill,in Aberdeen,in Scotland,so I made some nice memories.,country,city,the rarest,the most common,f,ADJ,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",I was able to take photos of,the rarest,bird,"in Aberdeen,",What type of bird did I take photos of?,FILL,FILL,FILL,FILL
70,fill,in Helsinki,in Finland,so I really enjoyed it.,country,city,the poshest,the newest,f,ADJ,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",I ate at,the poshest,restaurant,"in Helsinki,",What kind of restaurant did I eat at?,FILL,FILL,FILL,FILL
71,fill,in Shanghai,in China,so it was a lovely time.,country,city,China,The UK,f,PLACE,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",I was staying in,the most modern,appartment block,"in Shanghai,",What country did I visit?,FILL,FILL,FILL,FILL
72,fill,in Vancouver,in Canada,so I made some nice memories.,country,city,Canada,Ireland,f,PLACE,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",I tried,the spiciest,noodles you can find,"in Vancouver,",What country did I visit?,FILL,FILL,FILL,FILL
73,fill,in Moscow,in Russia,so I really enjoyed it.,country,city,Russia,Wales,f,PLACE,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",I got to experience,the heaviest,snow to ever fall,"in Moscow,",What country did I visit?,FILL,FILL,FILL,FILL
74,fill,in Melbourne,in Australia,so it was a lovely time.,country,city,Australia,Hungary,f,PLACE,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",I tasted,the most unique,beer,"in Melbourne,",What country did I visit?,FILL,FILL,FILL,FILL
75,fill,in Stockholm,in Sweden,so I made some nice memories.,country,city,Sweden,Belgium,f,PLACE,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",I rented,the priciest,car available,"in Stockholm,",What country did I visit?,FILL,FILL,FILL,FILL
76,fill,in São Paulo,in Brazil,so I really enjoyed it.,country,city,Brazil,The Netherlands,f,PLACE,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",I visited,the smallest,coffee shop,"in São Paulo,",What country did I visit?,FILL,FILL,FILL,FILL
77,fill,in Mumbai,in India,so I'm glad I went.,country,city,India,Morrocco,f,PLACE,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",I sunbathed,the longest,beach,"in Mumbai,",What country did I visit?,FILL,FILL,FILL,FILL
78,fill,in Bern,in Switzerland,so it was a lovely time.,country,city,Switzerland,Turkey,f,PLACE,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",I drank from,the most well-known,fountain,"in Bern,",What country did I visit?,FILL,FILL,FILL,FILL
79,fill,in Athens,in Greece,so I made some nice memories.,country,city,Greece,Egypt,f,PLACE,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",I tried,the best,ice-cream,"in Athens,",What country did I visit?,FILL,FILL,FILL,FILL
80,fill,in Bogotá,in Colombia,so I really enjoyed it.,country,city,Colombia,Uzbekistan,f,PLACE,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",I got to enjoy,the tastiest,curry,"in Bogotá,",What country did I visit?,FILL,FILL,FILL,FILL
81,fill,in Bangkok,in Thailand,so it was a lovely time.,country,city,the most ancient,the strangest,f,ADJ,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",I visited,the most ancient,temple,"in Bangkok,",What type of temple did I visit?,FILL,FILL,FILL,FILL
82,fill,in Tokyo,in Japan,so I made some nice memories.,country,city,the largest,the least famous,f,ADJ,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",I swam in,the largest,swimming pool,"in Tokyo,",What kind of swimming pool did I swim in?,FILL,FILL,FILL,FILL
83,fill,in Malaga,in Spain,so I really enjoyed it.,country,city,the biggest,the greatest,f,ADJ,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",I rode,the biggest,rollercoaster,"in Malaga,",What type of rollercoaster did I ride?,FILL,FILL,FILL,FILL
84,fill,in Marrakesh,in Morrocco,so I'm glad I went.,country,city,the cleanest,the tidiest,f,ADJ,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",I stayed at,the cleanest,hostel,"in Marrakesh,",What kind of hostel did I stay at?,FILL,FILL,FILL,FILL
85,fill,in Istanbul,in Turkey,so I made some nice memories.,country,city,the newest,the oldest,f,ADJ,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",I went up,the newest,skyscraper,"in Istanbul,",What type of skyscraper did I go up?,FILL,FILL,FILL,FILL
86,fill,in Lisbon,in Portugal,so I really enjoyed it.,country,city,the most famous,the best,f,ADJ,"I've just returned from a well-earned break in Portugal. I was really shocked. Apparently,",I walked across,the most famous,bridge,"in Lisbon,",What kind of bridge did I walk across?,FILL,FILL,FILL,FILL
87,fill,in Dublin,in Ireland,so it was a lovely time.,country,city,the widest,the most narrow,f,ADJ,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",I sailed down,the widest,river,"in Dublin,",What type of river did I sail down?,FILL,FILL,FILL,FILL
88,fill,in Swansea,in Wales,so I made some nice memories.,country,city,the least well-known,the least well-known,f,ADJ,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",I got to stay in,the least well-known,area,"in Swansea,",What kind of area did I stay in?,FILL,FILL,FILL,FILL
89,fill,in Budapest,in Hungary,so I really enjoyed it.,country,city,the finest,the most affordable,f,ADJ,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",I had,the finest,seafood,"in Budapest,",What type of seafood did I have?,FILL,FILL,FILL,FILL
90,fill,in Johannesburgh,in South Africa,so it was a lovely time.,country,city,the nicest,the most unique,f,ADJ,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",I ate,the nicest,cheese,"in Johannesburgh,",What kind of cheese did I eat?,FILL,FILL,FILL,FILL
91,fill,in the US,in Chicago,so I made some nice memories.,city,country,Delhi,Chicago,j,PLACE,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",I got to try,the most delicious,spaghetti,"in the US,",What city did I visit?,FILL,FILL,FILL,FILL
92,fill,in France,in Nice,so I really enjoyed it.,city,country,Ottawa,Nice,j,PLACE,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",I bathed in,the cleanest,sea,"in France,",What city did I visit?,FILL,FILL,FILL,FILL
93,fill,in Italy,in Milan,so I'm glad I went.,city,country,Perth,Milan,j,PLACE,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",I took,the highest,helicopter ride,"in Italy,",What city did I visit?,FILL,FILL,FILL,FILL
94,fill,in Germany,in Frankfurt,so it was a lovely time.,city,country,Rabat,Frankfurt,j,PLACE,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",I paraglided over,the most beautiful,spot,"in Germany,",What city did I visit?,FILL,FILL,FILL,FILL
95,fill,in England,in Lancaster,so I made some nice memories.,city,country,Lisbon,Lancaster,j,PLACE,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",I went to,the very first,pub,"in England,",What city did I visit?,FILL,FILL,FILL,FILL
96,fill,in Belgium,in Bruges,so I really enjoyed it.,city,country,Kyoto,Bruges,j,PLACE,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",I drank at,the trendiest,bar,"in Belgium,",What city did I visit?,FILL,FILL,FILL,FILL
97,fill,in Austria,in Salzburg,so it was a lovely time.,city,country,Bangor,Salzburg,j,PLACE,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",I visited,the most historical,monument,"in Austria,",What city did I visit?,FILL,FILL,FILL,FILL
98,fill,in The Netherlands,in Utrecht,so I made some nice memories.,city,country,Cape Town,Utrecht,j,PLACE,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",I was staying near,the oldest,university,"in The Netherlands,",What city did I visit?,FILL,FILL,FILL,FILL
99,fill,in Scotland,in Dundee,so I really enjoyed it.,city,country,Birmingham,Dundee,j,PLACE,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",I got to look around,the most well-established,museum,"in Scotland,",What city did I visit?,FILL,FILL,FILL,FILL
100,fill,in Finland,in Lapland,so I'm glad I went.,city,country,Manchester,Lapland,j,PLACE,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",I arrived during,the best,time for skiing,"in Finland,",What city did I visit?,FILL,FILL,FILL,FILL
